2026-04-09 12:59:48,065 | INFO | rappi | [rappi] costo_retail extraído: $26.00
2026-04-09 12:59:48,200 | INFO | rappi | [rappi] Click en 'Agregar' usando selector: button:has-text('Agregar e ir a pagar')
2026-04-09 12:59:48,211 | INFO | rappi | [rappi] Esperando 1.08s...
2026-04-09 12:59:49,299 | INFO | rappi | [rappi] Producto 'Home Office con Big Mac' agregado al carrito: True
2026-04-09 12:59:49,299 | INFO | rappi | [rappi] costo_total: $242.99 | costo_retail: $26.00
2026-04-09 12:59:49,557 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_POLANCO_01_home_office_con_big_mac_cart_20260409_175949.png
2026-04-09 12:59:49,558 | INFO | rappi | [rappi] Datos guardados en .\raw_20260409.json
2026-04-09 12:59:49,558 | INFO | rappi | [rappi] JSON raw guardado en: .\raw_20260409.json
2026-04-09 12:59:49,596 | INFO | orchestrator | [RAPPI] ✅ CDMX_POLANCO_01: 1 resultado(s) guardado(s)
2026-04-09 12:59:49,596 | INFO | orchestrator | [RAPPI] Dirección 2/2: CDMX_CONDESA_01 — Condesa
2026-04-09 12:59:49,596 | INFO | rappi | [rappi] order era una lista, se toma el primer elemento: 'Home Office con Big Mac'
2026-04-09 12:59:49,596 | INFO | rappi | [rappi] retail era una lista, se toma el primer elemento: 'Coca-Cola'
2026-04-09 12:59:49,596 | INFO | rappi | [rappi] Iniciando scrape para CDMX_CONDESA_01 - Condesa
2026-04-09 12:59:49,596 | INFO | rappi | [rappi] order='Home Office con Big Mac'
2026-04-09 12:59:49,596 | INFO | rappi | [rappi] retail='Coca-Cola'
2026-04-09 12:59:49,596 | INFO | rappi | [rappi] Intento 1/3
2026-04-09 12:59:49,597 | INFO | rappi | [rappi] Navegando a: https://www.rappi.com.mx/
2026-04-09 12:59:51,605 | INFO | rappi | [rappi] Esperando 4.24s...
2026-04-09 12:59:55,905 | INFO | rappi | [rappi] Esperando 1.30s...
2026-04-09 12:59:57,476 | INFO | rappi | [rappi] Screenshot guardado: results\screenshots\rappi\rappi_CDMX_CONDESA_01_home_20260409_175957.png
2026-04-09 12:59:57,476 | INFO | rappi | [rappi] Intentando setear dirección: Av. Amsterdam 255, Hipodromo Condesa, Cuauhtemoc, 06100 Ciudad de Mexico, CDMX, Mexico
2026-04-09 12:59:57,605 | INFO | rappi | [rappi] Esperando 0.95s...
2026-04-09 12:59:58,550 | INFO | rappi | [rappi] Modal de dirección abierto con: [data-qa='address-container'] [role='button']
2026-04-09 12:59:58,550 | INFO | rappi | [rappi] Esperando 0.63s...
2026-04-09 13:00:05,195 | INFO | rappi | [rappi] Contenedor de modal detectado: [role='dialog'][aria-modal='true']
2026-04-09 13:00:05,209 | INFO | rappi | [rappi] Input de dirección encontrado: input[placeholder*='dirección']
2026-04-09 13:00:11,329 | INFO | rappi | [rappi] Dirección escrita: 'Av. Amsterdam 255, Hipodromo Condesa, Cuauhtemoc, 06100 Ciudad de Mexico, CDMX, Mexico'
2026-04-09 13:00:11,329 | INFO | rappi | [rappi] Esperando 1.11s...
2026-04-09 13:00:12,505 | INFO | rappi | [rappi] Primera sugerencia seleccionada ([data-qa='suggestion-item'] button)
2026-04-09 13:00:12,507 | INFO | rappi | [rappi] Esperando 0.64s...
2026-04-09 13:00:13,246 | INFO | rappi | [rappi] Confirmación de dirección clicada: [data-qa='confirm-address']
2026-04-09 13:00:13,433 | INFO | rappi | [rappi] 'Guardar dirección' clicado: button:has-text('Guardar dirección')
2026-04-09 13:00:13,458 | INFO | rappi | [rappi] Modal de dirección cerrado.
2026-04-09 13:00:13,458 | INFO | rappi | [rappi] Esperando 2.33s...
